alpha	Current	Average Density	"	"	"	"	beta	Current	Average Density
0.0	0.0	0.0			0.0	0.0	1.0
0.00141020627595	0.0014052345716	0.00386372914235			0.000956807070883	0.000955586431189	0.997377730147
0.00282041255191	0.0028005257345	0.00774798669659			0.00191361414177	0.00190873158299	0.994740256013
0.00423061882786	0.00418587348869	0.0116544415802			0.00287042121265	0.0028594354554	0.992086929346
0.00564082510381	0.00556127783418	0.0155849869469			0.00382722828353	0.00380769804842	0.989417048427
0.00705103137977	0.00692673877097	0.0195417871487			0.00478403535442	0.00475351936205	0.986729851037
0.00846123765572	0.00828225629905	0.0235273388606			0.0057408424253	0.0056968993963	0.984024506092
0.00987144393167	0.00962783041843	0.0275445521682			0.00669764949618	0.00663783815115	0.981300103644
0.0112816502076	0.0109634611291	0.031596860535			0.00765445656707	0.00757633562662	0.978555642805
0.0126918564836	0.0122891484311	0.0356883738102			0.00861126363795	0.00851239182269	0.975790017026
0.0141020627595	0.0136048923243	0.039824097676			0.00956807070883	0.00944600673938	0.973001995956
0.0155122690355	0.0149106928089	0.0440102600192			0.0105248777797	0.0103771803767	0.97019020282
0.0169224753114	0.0162065498848	0.0482548182919			0.0114816848506	0.0113059127346	0.967353085827
0.0183326815874	0.0174924635519	0.0525682929381			0.0124384919215	0.0122322038131	0.964488881495
0.0197428878633	0.0187684338104	0.0569652366335			0.0133952989924	0.0131560536122	0.961595566783
0.0211530941393	0.0200344606601	0.0614670794634			0.0143521060632	0.014077462132	0.958670795426
0.0225633004153	0.0212905441012	0.0661084148545			0.0153089131341	0.0149964293723	0.955711811309
0.0239735066912	0.0225366841335	0.0709539887589			0.016265720205	0.0159129553333	0.952715327549
0.0253837129672	0.0237728807572	0.0761648313296			0.0172225272759	0.0168270400149	0.94967735246
0.0267939192431	0.0249991339721	0.0832985571045			0.0181793343468	0.0177386834171	0.946592929821
0.0267949192431	0.025	0.548614581084			0.0181803343468	0.0177396349375	0.053410320198
1.0	0.025	0.548614581084			1.0	0.0177396349375	0.053410320198
"
"
transition point	0.026794919243112253				transition point	0.018180334346781013	
