alpha	Current	Average Density	"	"	"	"	beta	Current	Average Density
0.0	0.0	0.0			0.0	0.0	1.0
0.0014102062759532765	0.0014052345716014315	0.003863729142347956			0.001362789416093499	0.0013603131561033437	0.9962605181992893
0.002820412551906553	0.0028005257344991727	0.007747986696589222			0.002725578832186998	0.0027156737922263766	0.9924896378729816
0.0042306188278598295	0.004185873488693224	0.011654441580204475			0.004088368248280497	0.0040660819083691	0.9886853873336261
0.005640825103813106	0.005561277834183586	0.015584986946855738			0.005451157664373996	0.005411537504531511	0.984845549698576
0.0070510313797663825	0.006926738770970257	0.019541787148718372			0.0068139470804674945	0.006752040580713613	0.9809676129550015
0.008461237655719659	0.008282256299053239	0.02352733886060646			0.008176736496560994	0.008087591136915403	0.9770487051759167
0.009871443931672936	0.009627830418432529	0.02754455216821071			0.009539525912654492	0.009418189173136884	0.9730855088552333
0.011281650207626212	0.01096346112910813	0.03159686053497039			0.010902315328747992	0.010743834689378054	0.9690741451130308
0.012691856483579489	0.012289148431080041	0.035688373810175554			0.012265104744841491	0.012064527685638914	0.9650100131065993
0.014102062759532765	0.013604892324348264	0.0398240976759921			0.013627894160934989	0.01338026816191946	0.960887560468243
0.015512269035486042	0.014910692808912794	0.0440102600191874			0.014990683577028489	0.014691056118219699	0.956699943013164
0.016922475311439318	0.016206549884773633	0.048254818291862206			0.01635347299312199	0.01599689155453963	0.9524384974722043
0.018332681587392596	0.017492463551930786	0.0525682929381202			0.017716262409215488	0.017297774470879244	0.9480918781714335
0.01974288786334587	0.018768433810384247	0.05696523663348878			0.019079051825308984	0.01859370486723855	0.9436445399144462
0.021153094139299146	0.020034460660134014	0.061467079463387836			0.020441841241402484	0.019884682743617547	0.9390738090303811
0.022563300415252424	0.021290544101180097	0.06610841485445959			0.021804630657495983	0.02117070810001623	0.9343434307786397
0.023973506691205702	0.022536684133522493	0.07095398875890811			0.023167420073589483	0.022451780936434605	0.9293861741918997
0.025383712967158977	0.02377288075716119	0.07616483132957895			0.024530209489682982	0.023727901252872673	0.9240362653180546
0.026793919243112252	0.0249991339720962	0.08329855710450591			0.025892998905776482	0.024999069049330427	0.9167049322582453
0.026794919243112253	0.025	0.5486145810838052			0.025893998905776483	0.025	0.5486145810838052
1.0	0.025	0.5486145810838052			1.0	0.025	0.5486145810838052
"
"
beta	0.031072798686931778				alpha	0.0321539030917347	
transition point	0.026794919243112253				transition point	0.025893998905776483	
