alpha	Current	Average Density	"	"	"	"	beta	Current	Average Density
0.0	0.0	0.0			0.0	0.0	1.0
0.00141020627595	0.0014052345716	0.00386372914235			0.00136278941609	0.0013603131561	0.996260518199
0.00282041255191	0.0028005257345	0.00774798669659			0.00272557883219	0.00271567379223	0.992489637873
0.00423061882786	0.00418587348869	0.0116544415802			0.00408836824828	0.00406608190837	0.988685387334
0.00564082510381	0.00556127783418	0.0155849869469			0.00545115766437	0.00541153750453	0.984845549699
0.00705103137977	0.00692673877097	0.0195417871487			0.00681394708047	0.00675204058071	0.980967612955
0.00846123765572	0.00828225629905	0.0235273388606			0.00817673649656	0.00808759113692	0.977048705176
0.00987144393167	0.00962783041843	0.0275445521682			0.00953952591265	0.00941818917314	0.973085508855
0.0112816502076	0.0109634611291	0.031596860535			0.0109023153287	0.0107438346894	0.969074145113
0.0126918564836	0.0122891484311	0.0356883738102			0.0122651047448	0.0120645276856	0.965010013107
0.0141020627595	0.0136048923243	0.039824097676			0.0136278941609	0.0133802681619	0.960887560468
0.0155122690355	0.0149106928089	0.0440102600192			0.014990683577	0.0146910561182	0.956699943013
0.0169224753114	0.0162065498848	0.0482548182919			0.0163534729931	0.0159968915545	0.952438497472
0.0183326815874	0.0174924635519	0.0525682929381			0.0177162624092	0.0172977744709	0.948091878171
0.0197428878633	0.0187684338104	0.0569652366335			0.0190790518253	0.0185937048672	0.943644539914
0.0211530941393	0.0200344606601	0.0614670794634			0.0204418412414	0.0198846827436	0.93907380903
0.0225633004153	0.0212905441012	0.0661084148545			0.0218046306575	0.0211707081	0.934343430779
0.0239735066912	0.0225366841335	0.0709539887589			0.0231674200736	0.0224517809364	0.929386174192
0.0253837129672	0.0237728807572	0.0761648313296			0.0245302094897	0.0237279012529	0.924036265318
0.0267939192431	0.0249991339721	0.0832985571045			0.0258929989058	0.0249990690493	0.916704932258
0.0267949192431	0.025	0.548614581084			0.0258939989058	0.025	0.548614581084
1.0	0.025	0.548614581084			1.0	0.025	0.548614581084
"
"
beta	0.038840998358664724				alpha	0.04019237886466838	
transition point	0.026794919243112253				transition point	0.025893998905776483	
