alpha	Current	Average Density	"	"	"	"	beta	Current	Average Density
0.0	0.0	0.0			0.0	0.0	1.0
0.026315736842105263	0.025623218836562326	0.0066699000780608255			0.026315736842105263	0.025623218836562326	0.993330099921939
0.05263147368421053	0.049861401662038785	0.013116263481401538			0.05263147368421053	0.049861401662038785	0.9868837365185984
0.07894721052631579	0.07271454847642936	0.019328822027558788			0.07894721052631579	0.07271454847642936	0.9806711779724416
0.10526294736842105	0.09418265927973407	0.025296805317663307			0.10526294736842105	0.09418265927973407	0.9747031946823368
0.13157868421052632	0.11426573407195291	0.031008925125183554			0.13157868421052632	0.11426573407195291	0.9689910748748165
0.15789442105263157	0.13296377285308586	0.03645336414700411			0.15789442105263157	0.13296377285308586	0.9635466358529956
0.18421015789473685	0.15027677562313296	0.04161777175217459			0.18421015789473685	0.15027677562313296	0.9583822282478255
0.2105258947368421	0.16620474238209418	0.046489270602572054			0.2105258947368421	0.16620474238209418	0.9535107293974278
0.23684163157894736	0.18074767312996953	0.05105447978168373			0.23684163157894736	0.18074767312996953	0.9489455202183161
0.26315736842105264	0.193905567866759	0.055299562492952724			0.26315736842105264	0.193905567866759	0.9447004375070475
0.2894731052631579	0.20567842659246263	0.05921030954639522			0.2894731052631579	0.20567842659246263	0.9407896904536047
0.31578884210526315	0.21606624930708032	0.06277227357597381			0.31578884210526315	0.21606624930708032	0.9372277264240264
0.3421045789473684	0.22506903601061215	0.0659709725209838			0.3421045789473684	0.22506903601061215	0.9340290274790158
0.3684203157894737	0.2326867867030582	0.06879218269351108			0.3684203157894737	0.2326867867030582	0.9312078173064892
0.39473605263157896	0.23891950138441828	0.07122233871112033			0.39473605263157896	0.23891950138441828	0.9287776612888798
0.4210517894736842	0.2437671800546925	0.07324904551467151			0.4210517894736842	0.2437671800546925	0.9267509544853286
0.44736752631578947	0.2472298227138809	0.07486168303470529			0.44736752631578947	0.2472298227138809	0.9251383169652946
0.4736832631578947	0.2493074293619834	0.07605204779699486			0.4736832631578947	0.2493074293619834	0.9239479522030053
0.499999	0.24999999999899997	0.07681495888333988			0.499999	0.24999999999899997	0.9231850411166601
0.5	0.25	0.5077972529436605			0.5	0.25	0.5077972529436605
1.0	0.25	0.5077972529436605			1.0	0.25	0.5077972529436605
"
"
beta	0.6				alpha	0.6	
transition point	0.5				transition point	0.5	
